class	region_va	base_va	name	rows	callers	strings
CHANGED	8009A2A0	800997AC	CopSpeak_ReadyNextRequest__Fv	176		
REGION-ONLY	8009A5B0		func_8009A5B0	44	AudioCmn_Reset__Fv;AudioCmn_UnPauseAndRestart__Fv;CopSpeak_Stop__Fv	
CHANGED	8009A714	80099B70	CopSpeak_InitVars__Fv	32	CopSpeak_StartUp__Fv	
CHANGED	8009A794	80099BEC	CopSpeak_DirectRequest__FillP8Car_tObjPc	49	SubmitRequest__6Speechlll	
CHANGED	8009A858	80099C98	CopSpeak_GenericBankRequest__FiP8Car_tObj	47	SubmitRequest__6Speechlll	
CHANGED	8009B0A0	8009A4C8	CopSpeak_Request__FP17CopSpeak_tRequest	84	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj	
CHANGED	8009B220	8009A634	CopSpeak_LoadNextRequest__Fv	135		
CHANGED	8009B43C	8009A828	CopSpeak_PlayNextRequest__Fv	81		
REGION-ONLY	8009B580		func_8009B580	192	AudioClc_SoundSpeech__Fv;AudioCmn_Reset__Fv;AudioTrk_PreLoad__Fv	
CHANGED	8009C7CC	8009BD9C	GameSetup_StartUp__FPi	263	Nfs2_GameModuleStartUp__FPi	
CHANGED	8009EEB0	8009E3E8	MPause_MusicLogic__Fc	192	MPause_Logic__Fv	
CHANGED	800A3994	800A2E84	Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	492	Collide_CheckMeForCollisions__FP13BO_tNewtonObj	
CHANGED	800A4A70	800A3F08	NFS4_LoadPerps__Fv	172	Nfs2_GameModuleStartUp__FPi	
CHANGED	800A52A8	800A4730	main	237	__SN_ENTRY_POINT	
CHANGED	800A5DD0	800A5258	Object_KillStatus__Fv	28	BWorld_Restart__Fv;BWorld_DeInit__Fv	
REGION-ONLY	800A778C		func_800A778C	14	Track_Init__FPc	
REGION-ONLY	800A77C4		func_800A77C4	9	Track_DeInit__Fv	
REGION-ONLY	800A77E8		func_800A77E8	10		
REGION-ONLY	800A7810		func_800A7810	6		
REGION-ONLY	800A7828		func_800A7828	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7848		func_800A7848	8	___23ObjectFinishedMultiAnim	
REGION-ONLY	800A7868		func_800A7868	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7888		func_800A7888	8	___22ObjectFinishedSignAnim	
CHANGED	800ACDFC	800AC164	Physics_Real__FP8Car_tObj	1273	Physics_SimCar__FP8Car_tObj	
CHANGED	800B086C	800AFBD0	R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView	1153	R3DCar_InsertCarFacetZ__FP8Car_tObjP13DRender_tView	
CHANGED	800B2E34	800B2174	R3DCar_InsertCarFacetII__FP8Car_tObj	382	R3DCar_InsertAllListFacet__FP13DRender_tView	
CHANGED	800B3D78	800B30AC	Render_CreatePlayerViews__Fv	59	Render_CreateViews__Fv	
CHANGED	800B3F84	800B32B8	Render_RenderWorld__FP13DRender_tView	41	Render_RenderPlayerView__Fii	
CHANGED	800B4174	800B34A8	Render_Render__Fi	82	Sim_MainGameLoop__Fv	
CHANGED	800B43C8	800B36F4	Render_InitTrackRender__Fv	46	Nfs2_GameModuleStartUp__FPi	
CHANGED	800B46D8	800B3A04	Render_InitBlurMode__Fv	27	Render_InitTrackRender__Fv	
CHANGED	800B92DC	800B8604	Stats_ExtrapolateOpponentTimes__Fi	490	HandlePullOver__13AIHigh_Player;Sim_ProcessPause__Fv;Stats_TrackEndGame__Fv	
REGION-ONLY	800BB2F8		func_800BB2F8	57	Track_Init__FPc	
CHANGED	800BB5B8	800BA808	Track_Init__FPc	291	BWorld_Init__Fv	
CHANGED	800BBA44	800BAC74	Track_DeInit__Fv	55	BWorld_DeInit__Fv	
CHANGED	800BC95C	800BBB84	Audio_InitDriver__Fii	61	RunDemoVideo__14tFEApplication;Init_PSX_FrontEnd__Fv;Nfs2_GameModuleStartUp__FPi;main	
CHANGED	800BEBC4	800BDDD8	Draw_SetViewMemBudget__Fii	11	PSXFront_AllocateDrawMemory__Fv	
CHANGED	800BEC50	800BDE60	AllocatePrimitivesBuffer__Fv	39	Draw_CheckFirstFrameRender__Fv	
CHANGED	800BEDB0	800BE060	Draw_StartRenderingView__Fi	60	Redraw__14tFEApplication;DisplayLoadingText__7tScreen;Render_StartRenderingWorldView__Fi;Render_RenderPauseMenuView__Fv	
CHANGED	800BEFB8	800BE230	Draw_CheckFirstFrameRender__Fv	36	Render_StartFrameRender__Fv	
CHANGED	800BF200	800BE478	Draw_DirectSetEnvironment__Fiiiiiiiiii	69	Quick_DD__Fiii;NFS4_LoadingIcon__Fv;Draw_CheckFirstFrameRender__Fv;Draw_CheckFirstFrameRender__Fv	
CHANGED	800BF370	800BE5D8	Draw_InitRenderEngine__Fiiiiii	47	Render_InitTrackRender__Fv	
CHANGED	800C47E0	800C3A30	DrawC_PrimHalo__FP10matrixtdefP8coorddefP16Transformer_zObjiiiP13Draw_CarCache	301	R3DCar_InsertCarFacetII__FP8Car_tObj;R3DCar_InsertCarFacetMenuII__FP8Car_tObji	
CHANGED	800C7BF4	800C6E38	DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache	26	DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry	
CHANGED	800C7C5C	800C6EB8	DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache	52	DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry	
CHANGED	800D280C	800D1A80	Hud_CreateHudViews__Fv	187	Render_CreateViews__Fv	
CHANGED	800D2B88	800D1DFC	Hud_DebugInfo__Fv	2	Hud_RenderHudView__Fv;Hud_Render__Fv	
CHANGED	800D5A70	800D4E70	Hud_BuildNumbers__Fi	758	Hud_RenderHudView__Fv	
CHANGED	800D9964	800D8D64	Hud_ParseTime__FiPc	97	RaceSummary__Fv;RaceSummary__Fv;RaceStatistics__Fv;RaceStatistics__Fv	
REGION-ONLY	800DCED0		func_800DCED0	2	Init_Memcard__FbT0;DeInit_Memcard__Fv;SaveGame__Fs;SaveGame__Fs	
REGION-ONLY	800DCED8		func_800DCED8	2		
CHANGED	800DCFA0	800DC378	Platform_SysStartUp__Fv	58	Nfs2_SystemNLibStartUp__Fv	
CHANGED	800E4490	800E3858	Weather_DoSplats__FiP18Weather_tSplatInfo	97	Weather_DoWeather__FP13DRender_tView	
CHANGED	800E4CE0	800E40E8	padinit	27	Init_Memcard__FbT0;DeInit_Memcard__Fv;initjoy	
CHANGED	800E4D4C	800E4158	PAD_restore	17	Init_Memcard__FbT0;DeInit_Memcard__Fv	
CHANGED	800E4D90	800E41AC	PAD_state	20	FEInput_GetNoDebounceKey__Fii;FEInput_GetNoDebounceKey__Fii;DrawCongratsMessage__23tScreenBeTheCopCongrats;Movie_Play__Fc	
CHANGED	800E4DF4	800E4210	PAD_update	63	CalculateDimensions__11tDialogHelp;FEInput_GetNoDebounceKey__Fii;Front_ResetPSXController__Fii;GetPSXPadValue__Fii	
CHANGED	800E5094	800E44BC	sprintf	180	DrawHelpIcons__14tFEApplication;MainLoop__14tFEApplicationP5tMenu;FeAudio_AsyncPlaySpeech__Fii;FeAudio_InitCommentary__Fii	
MERGED-INTO:sprintf	800E5364		func_800E5364	3		
MERGED-INTO:sprintf	800E5370		func_800E5370	11		
MERGED-INTO:sprintf	800E539C		func_800E539C	22		
MERGED-INTO:func_800E539C	800E53F4		func_800E53F4	72		
MERGED-INTO:sprintf	800E5514		func_800E5514	64		
MERGED-INTO:func_800E5514	800E5614		func_800E5614	8		
MERGED-INTO:func_800E5514	800E5634		func_800E5634	66		
MERGED-INTO:func_800E5514	800E573C		func_800E573C	8		
MERGED-INTO:func_800E5514	800E575C		func_800E575C	35		
MERGED-INTO:func_800E5514	800E57E8		func_800E57E8	79		
REGION-ONLY	800EECDC		func_800EECDC	16		
CHANGED	800F09E0	800F0058	PadInfoAct	35		
MERGED-INTO:PadInfoAct	800F0A6C		func_800F0A6C	3		
MERGED-INTO:PadInfoAct	800F0A78		func_800F0A78	3		
MERGED-INTO:PadInfoAct	800F0A84		func_800F0A84	3		
MERGED-INTO:PadInfoAct	800F0A90		func_800F0A90	9		
CHANGED	800F79BC	800F7034	FntPrint	138		
MERGED-INTO:FntPrint	800F7BE4		func_800F7BE4	30		
MERGED-INTO:FntPrint	800F7C5C		func_800F7C5C	8		
MERGED-INTO:FntPrint	800F7C7C		func_800F7C7C	67		
CHANGED	800FA470	800F9AE8	CD_systaskfunc	108		
CHANGED	800FA620	800F9C44	CD_timerfunc	24		
CHANGED	800FA680	800F9CA4	CdReadyHandler	300		
CHANGED	800FB054	800FA678	CD_Read	162	readfile	
CHANGED	800FB804	800FAE2C	MemCardCmd_cb	28		
MERGED-INTO:MemCardCmd_cb	800FB874		func_800FB874	25		
MERGED-INTO:MemCardCmd_cb	800FB8D8		func_800FB8D8	19		
MERGED-INTO:MemCardCmd_cb	800FB924		func_800FB924	69		
REGION-ONLY	801053E4		func_801053E4	4	ResetGraph	
CHANGED	80107A58	80107080	CD_get_intr	266	CD_sync;CD_ready;CD_cw;_cd_intr_dispatch	
MERGED-INTO:CD_get_intr	80107E80		func_80107E80	32		
MERGED-INTO:CD_get_intr	80107F00		func_80107F00	45		
CHANGED	8010B4E8	8010A880	iSNDdmtransfer	129	iSNDdmcallback;iSNDdmservice	
CHANGED	8010D8C8	8010CC40	iSNDsin	2510	iSNDlibatodlrv	
