placed=438 dropped=22 bytes=893028 identical=726717 (81.38%) exact_objs=201
      6/    876 differing  build/recon/game/common/aidelaycar.cpp.o
      6/   1428 differing  build/recon/eaclib/psx/sndpsxz/sserver.c.o
      6/     96 differing  build/recon/eaclib/psx/eacpsxz/exit.c.o
      6/    984 differing  build/recon/eaclib/psx/sndpsxz/ssysinit.c.o
      6/    108 differing  build/recon/eaclib/psx/sndpsxz/ssysreal.c.o
      6/    128 differing  build/recon/syslib/psx/libgte/MSC00.c.o
      6/    104 differing  build/recon/eaclib/psx/sndpsxz/scdvol.c.o
      5/    328 differing  build/recon/eaclib/psx/eacpsxz/fixdatan.c.o
      5/    444 differing  build/recon/eaclib/psx/sndpsxz/sclcptch.c.o
      4/    180 differing  build/recon/game/psx/textpix.c.o
      4/    332 differing  build/recon/eaclib/psx/sndpsxz/span.c.o
      4/    104 differing  build/recon/eaclib/psx/sndpsxz/sstsetpr.c.o
      4/     44 differing  build/recon/eaclib/psx/eacpsxz/savegp.c.o
      4/     84 differing  build/recon/eaclib/psx/eacpsxz/fixdsqrt.c.o
      4/    108 differing  build/recon/eaclib/psx/eacpsxz/sinfunc.c.o
      4/    308 differing  build/recon/syslib/psx/libgte/MSC02.c.o
      4/    300 differing  build/recon/eaclib/psx/eacpsxz/textfor.c.o
      4/    200 differing  build/recon/eaclib/psx/eacpsxz/crc.c.o
      4/   1628 differing  build/recon/eaclib/psx/sndpsxz/spatkey.c.o
      4/    860 differing  build/recon/eaclib/psx/sndpsxz/sdriver.c.o
      4/    224 differing  build/recon/syslib/psx/libgte/PATCHGTE.c.o
      4/    144 differing  build/recon/eaclib/psx/eacpsxz/isqrttbl.c.o
      4/    100 differing  build/recon/syslib/psx/libmath/FERR.c.o
      4/    284 differing  build/recon/syslib/psx/libgte/COR_01.c.o
      4/    684 differing  build/recon/eaclib/psx/sndpsxz/sdplapat.c.o
      4/     16 differing  build/recon/syslib/psx/libapi/PAD.c.o
      3/   1340 differing  build/recon/game/common/chunk.cpp.o
      3/    380 differing  build/recon/game/common/udff.cpp.o
      3/    300 differing  build/recon/eaclib/psx/eacpsxz/atanfunc.c.o
      3/    944 differing  build/recon/eaclib/psx/eacpsxz/locatbig.c.o
      3/    376 differing  build/recon/eaclib/psx/eacpsxz/resize.c.o
      3/   2280 differing  build/recon/eaclib/psx/sndpsxz/slib.c.o
      3/    976 differing  build/recon/eaclib/psx/sndpsxz/sdfx.c.o
      3/   2920 differing  build/recon/eaclib/psx/sndpsxz/spktplay.c.o
      3/     56 differing  build/recon/syslib/psx/libds/DSCB.c.o
      2/     72 differing  build/recon/game/common/minfront.cpp.o
      2/    188 differing  build/recon/eaclib/psx/eacpsxz/loadshp.c.o
      2/    100 differing  build/recon/eaclib/psx/eacpsxz/shptype.c.o
      2/     28 differing  build/recon/eaclib/psx/eacpsxz/threads.c.o
      0/    156 differing  build/recon/frontend/psx/mmeffect.cpp.o
      0/    684 differing  build/recon/game/common/aiscript.cpp.o
      0/    284 differing  build/recon/game/common/color.cpp.o
      0/   5012 differing  build/recon/game/common/spchevnt.c.o
      0/    540 differing  build/recon/game/common/group.cpp.o
      0/   2800 differing  build/recon/game/common/mathnfs.cpp.o
      0/    144 differing  build/recon/game/common/new.cpp.o
      0/   1636 differing  build/recon/game/common/quatern.cpp.o
      0/    156 differing  build/recon/game/common/simplemem.cpp.o
      0/    444 differing  build/recon/game/psx/unpack.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C43.c.o
      0/     44 differing  build/recon/eaclib/psx/eacpsxz/fixdmult.c.o
      0/      4 differing  build/recon/syslib/psx/libsn/PUREV.c.o
      0/    172 differing  build/recon/eaclib/psx/eacpsxz/trnspos.c.o
      0/    168 differing  build/recon/eaclib/psx/eacpsxz/fixddiv.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A39.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C25.c.o
      0/    280 differing  build/recon/eaclib/psx/eacpsxz/nloadpk.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C23.c.o
      0/    396 differing  build/recon/syslib/psx/libc/QSORT.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C36.c.o
      0/    796 differing  build/recon/eaclib/psx/eacpsxz/blkmov.c.o
      0/    572 differing  build/recon/eaclib/psx/sndpsxz/sbremove.c.o
      0/     80 differing  build/recon/eaclib/psx/sndpsxz/splysdef.c.o
      0/    304 differing  build/recon/eaclib/psx/sndpsxz/seffect.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C21.c.o
      0/    312 differing  build/recon/eaclib/psx/sndpsxz/sbend.c.o
      0/    228 differing  build/recon/eaclib/psx/sndpsxz/splay.c.o
      0/     80 differing  build/recon/eaclib/psx/sndpsxz/sover.c.o
      0/     68 differing  build/recon/eaclib/psx/sndpsxz/sbhdrsze.c.o
      0/    324 differing  build/recon/eaclib/psx/sndpsxz/sbhdrcpy.c.o
      0/    256 differing  build/recon/eaclib/psx/sndpsxz/sdmemlu.c.o
