placed=443 dropped=17 bytes=922020 identical=777622 (84.34%) exact_objs=226 data_placed=238 data_bytes=56502 data_identical=53010
     10/   1196 differing  build/recon/eaclib/psx/spchpsxz/spchrule.c.o
      9/    152 differing  build/recon/eaclib/psx/eacpsxz/addtimer.c.o
      8/     76 differing  build/recon/game/common/paths.cpp.o
      8/     40 differing  build/recon/game/psx/textpsx.c.o
      8/    320 differing  build/recon/eaclib/psx/eacpsxz/random.c.o
      8/    408 differing  build/recon/syslib/psx/libgte/FGO_06.c.o
      8/     60 differing  build/recon/eaclib/psx/eacpsxz/joystkn.c.o
      8/   6688 differing  build/recon/eaclib/psx/eacpsxz/stream.c.o
      7/    212 differing  build/recon/frontend/common/screendisplay.cpp.o
      7/    124 differing  build/recon/game/common/audedit.cpp.o
      6/   1512 differing  build/recon/frontend/common/fetracks.cpp.o
      6/   1824 differing  build/recon/frontend/common/stattool.cpp.o
      6/    828 differing  build/recon/frontend/common/fefades.cpp.o
      6/    708 differing  build/recon/frontend/common/felines.cpp.o
      6/    296 differing  build/recon/game/common/aitune.cpp.o
      6/   1160 differing  build/recon/game/common/control.cpp.o
      6/   1428 differing  build/recon/eaclib/psx/sndpsxz/sserver.c.o
      6/    328 differing  build/recon/eaclib/psx/eacpsxz/fixdatan.c.o
      6/     96 differing  build/recon/eaclib/psx/eacpsxz/exit.c.o
      6/    108 differing  build/recon/eaclib/psx/sndpsxz/ssysreal.c.o
      6/    128 differing  build/recon/syslib/psx/libgte/MSC00.c.o
      6/    104 differing  build/recon/eaclib/psx/sndpsxz/scdvol.c.o
      6/    224 differing  build/recon/syslib/psx/libgte/PATCHGTE.c.o
      5/    152 differing  build/recon/game/common/aih_hum.cpp.o
      5/    984 differing  build/recon/eaclib/psx/sndpsxz/ssysinit.c.o
      5/    444 differing  build/recon/eaclib/psx/sndpsxz/sclcptch.c.o
      4/   4204 differing  build/recon/game/common/audioeng.cpp.o
      4/   1172 differing  build/recon/game/psx/trsproj.cpp.o
      4/    180 differing  build/recon/game/psx/textpix.c.o
      4/     44 differing  build/recon/eaclib/psx/eacpsxz/savegp.c.o
      4/     84 differing  build/recon/eaclib/psx/eacpsxz/fixdsqrt.c.o
      4/    108 differing  build/recon/eaclib/psx/eacpsxz/sinfunc.c.o
      4/    308 differing  build/recon/syslib/psx/libgte/MSC02.c.o
      4/    300 differing  build/recon/eaclib/psx/eacpsxz/textfor.c.o
      4/    200 differing  build/recon/eaclib/psx/eacpsxz/crc.c.o
      4/    776 differing  build/recon/eaclib/psx/eacpsxz/vramfxya.c.o
      4/    144 differing  build/recon/eaclib/psx/eacpsxz/isqrttbl.c.o
      4/    284 differing  build/recon/syslib/psx/libgte/COR_01.c.o
      4/     16 differing  build/recon/syslib/psx/libapi/PAD.c.o
      3/   1380 differing  build/recon/frontend/common/fetools.cpp.o
      3/    944 differing  build/recon/eaclib/psx/eacpsxz/locatbig.c.o
      3/    724 differing  build/recon/eaclib/psx/eacpsxz/wildcard.c.o
      3/    376 differing  build/recon/eaclib/psx/eacpsxz/resize.c.o
      3/    976 differing  build/recon/eaclib/psx/sndpsxz/sdfx.c.o
      3/     56 differing  build/recon/syslib/psx/libds/DSCB.c.o
      2/     72 differing  build/recon/game/common/minfront.cpp.o
      2/    188 differing  build/recon/eaclib/psx/eacpsxz/loadshp.c.o
      2/     28 differing  build/recon/eaclib/psx/eacpsxz/threads.c.o
      1/    228 differing  build/recon/eaclib/psx/eacpsxz/asinfunc.c.o
      1/    916 differing  build/recon/syslib/psx/libpad/PADENTRY.c.o
      0/    576 differing  build/recon/frontend/common/femission.cpp.o
      0/    156 differing  build/recon/frontend/psx/mmeffect.cpp.o
      0/    732 differing  build/recon/frontend/psx/fetexture.cpp.o
      0/    876 differing  build/recon/game/common/aidelaycar.cpp.o
      0/    684 differing  build/recon/game/common/aiscript.cpp.o
      0/   2820 differing  build/recon/game/common/AIWORLD.cpp.o
      0/   1340 differing  build/recon/game/common/chunk.cpp.o
      0/    284 differing  build/recon/game/common/color.cpp.o
      0/   5012 differing  build/recon/game/common/spchevnt.c.o
      0/    540 differing  build/recon/game/common/group.cpp.o
      0/   2800 differing  build/recon/game/common/mathnfs.cpp.o
      0/    144 differing  build/recon/game/common/new.cpp.o
      0/   1636 differing  build/recon/game/common/quatern.cpp.o
      0/    156 differing  build/recon/game/common/simplemem.cpp.o
      0/    380 differing  build/recon/game/common/udff.cpp.o
      0/    444 differing  build/recon/game/psx/unpack.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C43.c.o
      0/     44 differing  build/recon/eaclib/psx/eacpsxz/fixdmult.c.o
      0/      4 differing  build/recon/syslib/psx/libsn/PUREV.c.o
      0/    172 differing  build/recon/eaclib/psx/eacpsxz/trnspos.c.o
      0/    168 differing  build/recon/eaclib/psx/eacpsxz/fixddiv.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A39.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C25.c.o
      0/    300 differing  build/recon/eaclib/psx/eacpsxz/atanfunc.c.o
      0/    280 differing  build/recon/eaclib/psx/eacpsxz/nloadpk.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C23.c.o
      0/    396 differing  build/recon/syslib/psx/libc/QSORT.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C36.c.o
      0/    796 differing  build/recon/eaclib/psx/eacpsxz/blkmov.c.o
      0/    572 differing  build/recon/eaclib/psx/sndpsxz/sbremove.c.o
      0/     80 differing  build/recon/eaclib/psx/sndpsxz/splysdef.c.o
      0/    332 differing  build/recon/eaclib/psx/sndpsxz/span.c.o
      0/    292 differing  build/recon/eaclib/psx/sndpsxz/svol.c.o
      0/    104 differing  build/recon/eaclib/psx/sndpsxz/sstsetpr.c.o
      0/    304 differing  build/recon/eaclib/psx/sndpsxz/seffect.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C21.c.o
      0/    312 differing  build/recon/eaclib/psx/sndpsxz/sbend.c.o
      0/    228 differing  build/recon/eaclib/psx/sndpsxz/splay.c.o
      0/     80 differing  build/recon/eaclib/psx/sndpsxz/sover.c.o
      0/     68 differing  build/recon/eaclib/psx/sndpsxz/sbhdrsze.c.o
      0/    324 differing  build/recon/eaclib/psx/sndpsxz/sbhdrcpy.c.o
      0/    256 differing  build/recon/eaclib/psx/sndpsxz/sdmemlu.c.o
      0/    148 differing  build/recon/eaclib/psx/sndpsxz/sbadd.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstop.c.o
      0/    232 differing  build/recon/eaclib/psx/sndpsxz/spitch.c.o
      0/    212 differing  build/recon/eaclib/psx/sndpsxz/smasterv.c.o
      0/     12 differing  build/recon/syslib/psx/libc/A63.c.o
      0/    196 differing  build/recon/eaclib/psx/sndpsxz/s3dlow.c.o
      0/    120 differing  build/recon/eaclib/psx/sndpsxz/sstopall.c.o
      0/    284 differing  build/recon/eaclib/psx/sndpsxz/sautovol.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstgetv.c.o
      0/    644 differing  build/recon/syslib/psx/libcd/TYPE.c.o
      0/    248 differing  build/recon/eaclib/psx/sndpsxz/sststat.c.o
      0/    368 differing  build/recon/eaclib/psx/sndpsxz/sstrstat.c.o
      0/   3888 differing  build/recon/eaclib/psx/sndpsxz/sst.c.o
      0/    492 differing  build/recon/eaclib/psx/sndpsxz/spvoices.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstsetgl.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstsetgs.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstautov.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C27.c.o
      0/    208 differing  build/recon/eaclib/psx/sndpsxz/slimits.c.o
      0/    132 differing  build/recon/eaclib/psx/sndpsxz/sstovrhd.c.o
      0/     96 differing  build/recon/eaclib/psx/sndpsxz/sstvol.c.o
      0/   1016 differing  build/recon/eaclib/psx/eacpsxz/syncfile.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C42.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C47.c.o
      0/    184 differing  build/recon/eaclib/psx/eacpsxz/crossprd.c.o
      0/     12 differing  build/recon/syslib/psx/libgte/REG13.c.o
      0/    300 differing  build/recon/eaclib/psx/eacpsxz/fxform.c.o
      0/    272 differing  build/recon/eaclib/psx/eacpsxz/trnsfrm.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C16.c.o
      0/    192 differing  build/recon/eaclib/psx/eacpsxz/locatshp.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C24.c.o
      0/    256 differing  build/recon/syslib/psx/libmath/FLTSIDF.c.o
      0/    220 differing  build/recon/syslib/psx/libmath/LTDF2.c.o
      0/     32 differing  build/recon/eaclib/psx/spchpsxz/spchrslv.c.o
      0/    180 differing  build/recon/eaclib/psx/sndpsxz/stimerem.c.o
      0/     56 differing  build/recon/eaclib/psx/eacpsxz/fixdinv.c.o
      0/    260 differing  build/recon/eaclib/psx/eacpsxz/fixdsin.c.o
      0/    792 differing  build/recon/eaclib/psx/eacpsxz/matrix.c.o
      0/    212 differing  build/recon/syslib/psx/libmath/GTDF2.c.o
      0/    112 differing  build/recon/eaclib/psx/eacpsxz/shpsubs.c.o
      0/    324 differing  build/recon/eaclib/psx/eacpsxz/blkfill.c.o
      0/     60 differing  build/recon/syslib/psx/libgpu/P00.c.o
      0/    240 differing  build/recon/syslib/psx/libgpu/EXT.c.o
      0/     32 differing  build/recon/syslib/psx/libgte/REG11.c.o
      0/    100 differing  build/recon/syslib/psx/libgte/FOG_01.c.o
      0/    136 differing  build/recon/eaclib/psx/eacpsxz/getm.c.o
      0/     80 differing  build/recon/eaclib/psx/eacpsxz/textcrnt.c.o
      0/     40 differing  build/recon/syslib/psx/libgpu/P10.c.o
      0/    452 differing  build/recon/eaclib/psx/eacpsxz/isqrt.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P19.c.o
      0/    320 differing  build/recon/syslib/psx/libmath/MULSF3.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P12.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P16.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P18.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P17.c.o
      0/    184 differing  build/recon/eaclib/psx/eacpsxz/fsincos.c.o
      0/    196 differing  build/recon/syslib/psx/libgte/COR_02.c.o
      0/    312 differing  build/recon/syslib/psx/libgte/COR_03.c.o
      0/    180 differing  build/recon/syslib/psx/libmath/FIXSFSI.c.o
      0/      8 differing  build/recon/eaclib/psx/eacpsxz/meminit.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C68.c.o
      0/    108 differing  build/recon/eaclib/psx/eacpsxz/shpdepth.c.o
      0/     24 differing  build/recon/syslib/psx/libgpu/P01.c.o
      0/   3356 differing  build/recon/eaclib/psx/eacpsxz/unhuff.c.o
      0/    348 differing  build/recon/syslib/psx/libmath/EXTSFDF2.c.o
      0/    304 differing  build/recon/syslib/psx/libmath/TRUDFSF2.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C26.c.o
      0/      8 differing  build/recon/eaclib/psx/eacpsxz/nullfunc.c.o
      0/     40 differing  build/recon/syslib/psx/libgpu/P11.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C30.c.o
      0/    180 differing  build/recon/syslib/psx/libmath/FLTSISF.c.o
      0/    324 differing  build/recon/syslib/psx/libmath/DIVSF3.c.o
      0/    220 differing  build/recon/eaclib/psx/eacpsxz/shpclut.c.o
      0/     68 differing  build/recon/eaclib/psx/eacpsxz/cluttype.c.o
      0/    100 differing  build/recon/eaclib/psx/eacpsxz/shptype.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C57.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C46.c.o
      0/    108 differing  build/recon/syslib/psx/libc/MEMMOVE.c.o
      0/    100 differing  build/recon/eaclib/psx/eacpsxz/callback.c.o
      0/    152 differing  build/recon/eaclib/psx/eacpsxz/math64a.c.o
      0/    116 differing  build/recon/eaclib/psx/eacpsxz/stricmp.c.o
      0/     32 differing  build/recon/eaclib/psx/sndpsxz/sdata.c.o
      0/    264 differing  build/recon/eaclib/psx/sndpsxz/sbirmpat.c.o
      0/    104 differing  build/recon/eaclib/psx/sndpsxz/sbvalid.c.o
      0/    284 differing  build/recon/eaclib/psx/sndpsxz/s3dpos.c.o
      0/   1628 differing  build/recon/eaclib/psx/sndpsxz/spatkey.c.o
      0/   2280 differing  build/recon/eaclib/psx/sndpsxz/slib.c.o
      0/    860 differing  build/recon/eaclib/psx/sndpsxz/sdriver.c.o
      0/    340 differing  build/recon/eaclib/psx/sndpsxz/sfxlevel.c.o
      0/    108 differing  build/recon/eaclib/psx/spchpsxz/spchdata.c.o
      0/    336 differing  build/recon/eaclib/psx/sndpsxz/sbdload.c.o
      0/     84 differing  build/recon/eaclib/psx/sndpsxz/sballoc.c.o
      0/    156 differing  build/recon/eaclib/psx/sndpsxz/sgetvol.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C63.c.o
      0/   2920 differing  build/recon/eaclib/psx/sndpsxz/spktplay.c.o
      0/    228 differing  build/recon/eaclib/psx/sndpsxz/smath64.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstgetrp.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C31.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C38.c.o
      0/    388 differing  build/recon/eaclib/psx/sndpsxz/spat2hdr.c.o
      0/     76 differing  build/recon/syslib/psx/libc/MEMCMP.c.o
      0/   4120 differing  build/recon/eaclib/psx/sndpsxz/sdpacket.c.o
      0/    332 differing  build/recon/eaclib/psx/sndpsxz/ssysserv.c.o
      0/    188 differing  build/recon/syslib/psx/libmath/DBSHIFTU.c.o
      0/    100 differing  build/recon/eaclib/psx/sndpsxz/sdtimrem.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C73.c.o
      0/    324 differing  build/recon/eaclib/psx/eacpsxz/trnsmult.c.o
      0/    684 differing  build/recon/eaclib/psx/sndpsxz/smemman.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A91.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/L10.c.o
      0/     24 differing  build/recon/syslib/psx/libgte/REG03.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C19.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A25.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C114.c.o
