NFS4-PSX matching-decomp -- per-function match progress
(objdiff fuzzy_match_percent; VA from configs/symbol_addrs.txt)
TOTAL: 218 functions, 212 at 100% (97.2%)
==================================================================================
VA             %match  unit                     function
0x80095D7C    100.00%  main                     Bullhorn__Q26Speech7Speaker
0x80095D84    100.00%  main                     Purge__Q26Speech7Speaker
0x80097350    100.00%  main                     Accident__Q26Speech15DispatchSpeakeri
0x80098788    100.00%  main                     Accident__Q26Speech13MobileSpeakeri
0x80099268    100.00%  main                     Perp__Q26Speech13MobileSpeaker
0x80099274    100.00%  main                     Unit__Q26Speech13MobileSpeaker
0x800992CC    100.00%  main                     CarObj__Q26Speech13MobileSpeaker
0x800992D8    100.00%  main                     IsSuper__Q26Speech13MobileSpeaker
0x80099344    100.00%  main                     PurgeStatusSub__Q26Speech15DispatchSpeaker
0x8009934C    100.00%  main                     StatusSub__Q26Speech15DispatchSpeaker
0x80099358    100.00%  main                     StatusCount__Q26Speech15DispatchSpeaker
0x80099364    100.00%  main                     CallSign__Q26Speech7Speaker
0x8009936C    100.00%  main                     FindClosestLocationTo__Q26Speech7Speakeri
0x80099374    100.00%  main                     GetCarBank__Q26Speech7Speakeri
0x8009937C    100.00%  main                     Perp__Q26Speech7Speaker
0x80099384    100.00%  main                     ReActivate__Q26Speech7Speaker
0x8009938C    100.00%  main                     CarObj__Q26Speech7Speaker
0x80099394    100.00%  main                     DistToPerp__Q26Speech7Speaker
0x8009939C    100.00%  main                     PurgeStatusSub__Q26Speech7Speaker
0x800993A4    100.00%  main                     StatusSub__Q26Speech7Speaker
0x800993AC    100.00%  main                     StatusCount__Q26Speech7Speaker
0x800993B4    100.00%  main                     IsSuper__Q26Speech7Speaker
0x800993BC    100.00%  main                     ClearPerp__Q26Speech7SpeakerP8Car_tObj
0x800993C4    100.00%  main                     KnownPerp__Q26Speech7SpeakerP8Car_tObj
0x800993CC    100.00%  main                     Unit__Q26Speech7Speaker
0x800993D4    100.00%  main                     Status__Q26Speech7Speaker
0x8009B3C8    100.00%  main                     FastRandom_CleanUp__Fv
0x8009C120    100.00%  main                     GameSetup_CleanUp__Fv
0x8009C128    100.00%  main                     LocateNextGroupType__15SerializedGroupi
0x800A61F8    100.00%  main                     Draw__23ObjectFinishedMultiAnimP13DRender_tViewP11Draw_DCachei
0x800A721C    100.00%  main                     Value__21tPListIteratorIndexed7tPlayer
0x800A7438    100.00%  main                     NextMenu__10tPMenuItem
0x800A7440    100.00%  main                     Debounce__10tPMenuItem
0x800A7448    100.00%  main                     ProcessInput__10tPMenuItemR13tInputKeyTypeR13tPMenuCommand
0x800A78A4    100.00%  main                     Debounce__25tPMenuItemLeftRightSlider
0x800A7DF0    100.00%  main                     NextMenu__24tPMenuItemGoToMenuButton
0x800A8698    100.00%  main                     IsNavigable__21tPMenuItemInteractive
0x800A86A0    100.00%  main                     IsNavigable__28tPMenuItemNonInteractiveText
0x800A8E74    100.00%  main                     Physics_CheckGamedata__Fv
0x800AFBA8    100.00%  main                     R3DCar_MATRIX3DT_Copy__FPiT0
0x800B33A8    100.00%  main                     Render_RenderDebugView__Fv
0x800B5024    100.00%  main                     Replay_LoadReplay__Fv
0x800BAD48    100.00%  main                     Track_AnimateTrackLighting__Fv
0x800BAD94    100.00%  main                     KillFile_ReadEntry__FPciRiT2
0x800BBA00    100.00%  main                     TrgSfx_KillTrgSfx__Fv
0x800BBB24    100.00%  main                     Udff_GetInt__FP10Udff_tInfo
0x800BDAB8    100.00%  main                     Device_Null__FUl
0x800BE67C    100.00%  main                     Draw_RestartRenderEngine__Fv
0x800BE6D0    100.00%  main                     ChangeTPage__FPUsi
0x800BE6E8    100.00%  main                     DrawC_SetEnviroment__Fv
0x800CB1F4    100.00%  main                     Force_UnPause__Fv
0x800CB1FC    100.00%  main                     Force_HitSign__FP8Car_tObj
0x800CB204    100.00%  main                     Force_HitWall__Fi
0x800CBDF8    100.00%  main                     Flare_IdentMatrix__FP6MATRIX
0x800D1F90    100.00%  main                     Hud_DebugCrap__Fv
0x800DC450    100.00%  main                     Platform_DebuggerPollHost__Fv
0x800DCD34    100.00%  main                     InGame_GetDevice__Fi
0x800E084C    100.00%  main                     Texture_KillTrackTexture__Fv
0x800E1DC0    100.00%  main                     Weather_GetNumParticles__Fi
0x800E3E40    100.00%  main                     fortext4
0x800E4024    100.00%  main                     __main
0x800E4F04    100.00%  main                     FREE_remove
0x800E8220    100.00%  main                     gettick
0x800F0AAC    100.00%  main                     shapecount
0x800F1784    100.00%  main                     GetVideoMode
0x800F30AC    100.00%  main                     putm
0x800F30D4    100.00%  main                     puti
0x800F3490    100.00%  main                     SetPolyGT4
0x800F35F0    100.00%  main                     SetPolyF3
0x800F3610    100.00%  main                     SetPolyF4
0x800F3630    100.00%  main                     SetPolyG4
0x800F3650    100.00%  main                     SetPolyFT4
0x800F4178    100.00%  main                     MEM_defaultevent
0x800F4450    100.00%  main                     GetClut
0x800F6114    100.00%  main                     setclipwindow
0x800F6934    100.00%  main                     checkrect
0x800FA65C    100.00%  main                     CD_Close
0x800FE41C    100.00%  main                     yieldthread
0x800FE480    100.00%  main                     freemutex
0x801001EC    100.00%  main                     SNDI_mutexalloc
0x801001F4    100.00%  main                     SNDI_mutexfree
0x801001FC    100.00%  main                     SNDI_mutexlock
0x80100204    100.00%  main                     SNDI_mutexunlock
0x80100994    100.00%  main                     iSPCH_GetBankBits
0x801016A4    100.00%  main                     iSPCH_OneChosen
0x80101ABC    100.00%  main                     iSNDresetpatch
0x80105E8C    100.00%  main                     _padCmdParaMode
0x801069AC    100.00%  main                     decodeansi
0x80106CF0    100.00%  main                     psxdevelopmentsystem
0x80107020    100.00%  main                     TermPrim
0x80109CF8    100.00%  main                     UserFuncComplete
0x8010AEDC    100.00%  main                     iSNDabs
0x8010B58C    100.00%  main                     iSPCH_CheckSentenceRules
0x8010B5AC    100.00%  main                     iSPCH_InitSample
0x8010C9B0    100.00%  main                     ReadInitPadFlag
    -         100.00%  main                     func_8005B460
    -         100.00%  main                     func_8005B488
    -         100.00%  main                     func_8005B4C4
    -         100.00%  main                     func_8005F624
    -         100.00%  main                     func_8005F678
    -         100.00%  main                     func_80061370
    -         100.00%  main                     func_800613C4
    -         100.00%  main                     func_8006D50C
    -         100.00%  main                     func_80072750
    -         100.00%  main                     func_80072830
    -         100.00%  main                     func_800ED0D4
