class	region_va	base_va	name	rows	callers	strings
CHANGED	8003A81C	8003A9D4	DrawCar__FR8tCarInfossffcbUl7tPlayer	125	DrawForeground__16tScreenCarSelect;DrawForeground__16tScreenCarSelect;DrawBackground__20tScreenCarSelectDuel;DrawBackground__20tScreenCarSelectDuel	
CHANGED	8003BE20	8003BF90	ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	111	ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	
CHANGED	8003C69C	8003C7D8	DrawForeground__16tScreenCarSelect	566		
CHANGED	8003E078	8003E190	DrawVideoWall__25tScreenCarSelectTwoPlayers	104		
CHANGED	8003E218	8003E330	GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3	58		
CHANGED	8003ECF8	8003EDC0	Initialize__25tScreenCarSelectTwoPlayer	32	Initialize__25tScreenPinkSlipsCarSelect	
CHANGED	8003EE7C	8003EF14	DoMemCardStuff__25tScreenPinkSlipsCarSelect	193	DrawBackground__25tScreenPinkSlipsCarSelect	
CHANGED	8003F1A0	8003F24C	Initialize__25tScreenPinkSlipsCarSelect	28		
CHANGED	8003F4F4	8003F590	ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	58		
CHANGED	8003F5DC	8003F638	GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3	30		
CHANGED	80040460	800404D8	DrawForeground__18tScreenTournSelect	42		
CHANGED	80042698	80042700	DrawOneRecord__19tScreenTrackRecordsibi	156	DrawRecords__19tScreenTrackRecordss;DrawRecords__19tScreenTrackRecordss	
CHANGED	80043154	800431B4	ShakeIt__23tScreenControllerConfig	2	DrawController__23tScreenControllerConfig	
CHANGED	80043684	80043778	SetCurrentController__23tScreenControllerConfigb	183	DrawBackground__23tScreenControllerConfig;DrawForeground__23tScreenControllerConfig;Initialize__23tScreenControllerConfig	
CHANGED	80047948	80047AD8	DrawForeground__14tScreenMemcard	67		
CHANGED	80047CB8	80047DD8	Cleanup__14tScreenMemcard	36		
CHANGED	80047D94	80047E8C	GetShapeInfo__15tScreenCongratsRsT1PPcT3	148		
CHANGED	80048E64	80048F64	DrawCongratsMessage__23tScreenTournamentTrophy	200		
CHANGED	80049474	8004952C	DrawCongratsMessage__23tScreenBeTheCopCongrats	48		
CHANGED	80049790	80049840	StatChk_IsRecordLapTime__FP10Car_tStatssPs	207	RunPostGame__14tFEApplication;MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	80049C5C	80049D0C	StatChk_IsTopTime__FP10Car_tStatss	299	RunPostGame__14tFEApplication;MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
