name	distinct	groups
FECheat_ActivateCheat__FPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(66w)
FECheat_HandleActivation__F10tCheatCode	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(36w)
FECheat_LoadBonus__FRUl	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(30w)
FEInput_GetKeyFromPlayer__F7tPlayerl	1	JPN(77w)
FEInput_GetNoDebounceKey__Fii	1	JPN(122w)
FEInput_VerifyControllerValues__Fi	1	JPN(28w)
FeTools_DrawPSXButton__FUcUsii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(126w)
FntPrint	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(243w)
Front_AppendOpponentData__FPiR9tFEStream	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(205w)
Front_GetInGameVars__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(63w)
Front_InitMissions__FR9tFEStream	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(85w)
Front_InitTrack__FR9tFEStream	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(117w)
Front_InitialMemCardCheck__Fv	2	AU+FR-DE+UK-ES-IT+UK-SW(42w) || JPN+USA(25w)
Front_SecondaryMemCardCheck__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(53w)
GameSetup_StartUp__FPi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(263w)
GetCarFromID__11tCarManagers	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(28w)
GetShapeInfo__15tScreenCongratsRsT1PPcT3	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(148w)
GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(58w)
GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(30w)
GoNonInterlaced__7tScreen	1	AU+FR-DE+UK-ES-IT+UK-SW(51w)
HighExecute__10AIHigh_Cop	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(1464w)
Hud_BuildNumbers__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(758w)
Hud_CreateHudViews__Fv	1	AU+FR-DE+UK-ES-IT+UK-SW(187w)
Hud_DebugInfo__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(2w)
Hud_ParseTime__FiPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(97w)
Init_MemcardFile__FR12MCRDFILE_defsb	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW(32w)
Init_Memcard__FbT0	2	AU+FR-DE+JPN+UK-ES-IT+UK-SW(90w) || USA(89w)
Init_RenderingEnvironment__Fv	1	AU+FR-DE+UK-ES-IT+UK-SW(62w)
Init__14tCreditManageri	1	AU(54w)
Initialize__11tScreenMain	3	AU(219w) || FR-DE+UK-ES-IT+UK-SW+USA(221w) || JPN(223w)
Initialize__14tScreenMemcard	1	AU+FR-DE+UK-ES-IT+UK-SW(107w)
Initialize__25tScreenCarSelectTwoPlayer	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(32w)
Initialize__25tScreenPinkSlipsCarSelect	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(28w)
InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(354w)
LoadDescription__15tMissionManagerb	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(77w)
LoadGame__FsbT1	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(388w)
Lose__Q26Speech13MobileSpeaker	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(209w)
MPause_MusicLogic__Fc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(192w)
MemCardCmd_cb	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(141w)
MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(173w)
MenuExtended_LoadGame__FR12tMenuCommand	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(54w)
MenuNFS4_DrawTextBox__FiR4RECTissbT5	2	AU+FR-DE+UK-ES-IT+UK-SW(302w) || JPN+USA(301w)
