function	class	group	repr_region	region_va	words	unit	candidate
DrawBackground__26tScreenTournamentStandings	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80039E14	561	frontend/common/screenpost	regiondiff/recon/NFS4-R-USA/frontend/common/screenpost.cpp
DrawCongratsMessage__23tScreenPinkSlipCongrats	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80048FC0	71	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawCongratsMessage__25tScreenTournamentCongrats	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80049B5C	51	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawForeground__12tScreenAudio	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800461B0	68	frontend/common/screenaudio	regiondiff/recon/NFS4-R-USA/frontend/common/screenaudio.cpp
DrawLeftFlare__FiiiRi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8001C100	87	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-USA/frontend/common/femenuoptions.cpp
DrawMemCardStuff__14tScreenMemcards	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80047148	343	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
DrawMoney__Fiiilii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80039A80	78	frontend/common/screenpost	regiondiff/recon/NFS4-R-USA/frontend/common/screenpost.cpp
DrawOneSong__18tInsideBoxSongMenussssss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8001EDA8	139	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-USA/frontend/common/femenuoptions.cpp
DrawOverlay__16tScreenCarSelectP8tOverlay	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003AFD8	551	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawRecords__19tScreenTrackRecordss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80042D50	120	frontend/common/screentrackrecords	regiondiff/recon/NFS4-R-USA/frontend/common/screentrackrecords.cpp
Draw__12tMenuOptions	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8001BC78	182	frontend/common/femenuextended	regiondiff/recon/NFS4-R-AU/frontend/common/femenuextended.cpp
Draw__29tMenuItemOnOffLeftRightChoiceiib	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8001E4E4	94	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-USA/frontend/common/femenuoptions.cpp
FeTools_init__Fv	CHANGED	JPN	JPN	80026810	58	frontend/common/fetools	regiondiff/recon/NFS4-R-JPN/frontend/common/fetools.cpp
Flare_LensFlare__FP7DVECTORP15Draw_FlareCache	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800CF8F8	409	game/psx/flare	regiondiff/recon/NFS4-R-AU/game/psx/flare.cpp
Flare_Moon__FP7SVECTORP15Draw_FlareCache	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800D0248	46	game/psx/flare	regiondiff/recon/NFS4-R-AU/game/psx/flare.cpp
Flare_Sun__FP7SVECTORP15Draw_FlareCache	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800CFF5C	187	game/psx/flare	regiondiff/recon/NFS4-R-AU/game/psx/flare.cpp
FormatConfirm__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80034750	11	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Front_InitOpponentCars__FR9tFEStream	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80028614	357	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
GenericMenuLoadGame__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D8BC	37	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
GenericMenuSaveGame__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002CA20	71	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
GetHelpText__23tScreenControllerConfig	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80045C94	24	frontend/common/screencontroller	regiondiff/recon/NFS4-R-USA/frontend/common/screencontroller.cpp
Hrz_BuildSky__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800D17C4	458	game/psx/hrzsku	regiondiff/recon/NFS4-R-AU/game/psx/hrzsku.cpp
InitializeVideoWall__16tScreenCarSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003BFA8	46	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
InitializeVideoWall__20tScreenCarSelectDuel	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003D518	71	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
Initialize__15tScreenUserName	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004B468	48	frontend/common/screenusername	regiondiff/recon/NFS4-R-USA/frontend/common/screenusername.cpp
Initialize__18tScreenTrackSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80041F4C	111	frontend/common/screentracks	regiondiff/recon/NFS4-R-USA/frontend/common/screentracks.cpp
Loading_DrawLoadingScreen__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800DBCD0	82	game/psx/loading	regiondiff/recon/NFS4-R-AU/game/psx/loading.cpp
MainLoop__14tFEApplicationP5tMenu	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800143C8	1123	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
MenuExtended_BuyCar__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D578	85	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_ExitPinkSlipsEarly__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002E368	76	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_ExitTourney__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002E2D8	36	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoTo2PlayerRace__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002CE74	83	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoToCarSelect__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002C57C	229	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoToRace__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002CD18	87	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoToSpecialEventTrackInfo__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D128	91	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoToTournTrackInfo__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002CFC0	90	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_GoToTwoPlayerSingleRace__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002C308	69	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_PurchaseUpgrade__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D6CC	80	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_SellCar__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D420	86	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
NFS4_LoadingIcon__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A5130	73	game/common/nfs3	regiondiff/recon/NFS4-R-AU/game/common/nfs3.cpp
Object_InitCustomObjects__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800A6100	33	game/common/object	regiondiff/recon/NFS4-R-USA/game/common/object.cpp
OverwriteConfirm__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003471C	11	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
PSXFront_AllocateDrawMemory__Fv	CHANGED	JPN	JPN	8004D76C	29	frontend/psx/psxfront	regiondiff/recon/NFS4-R-JPN/frontend/psx/psxfront.cpp
PinkSlipsPreSave__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002CB3C	50	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
PlayerNameMixedCase__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002BB08	27	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
PlayerName__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002BA7C	35	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Quick_DD__Fiii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8004DC70	17	frontend/psx/psxfront	regiondiff/recon/NFS4-R-AU/frontend/psx/psxfront.cpp
Render_CreatePauseMenuViews__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800B3E64	19	game/common/render	regiondiff/recon/NFS4-R-AU/game/common/render.cpp
SetDialog__25tScreenCarSelectTwoPlayer	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8003EFC8	48	frontend/common/screencarselect	regiondiff/recon/NFS4-R-AU/frontend/common/screencarselect.cpp
SetDialog__25tScreenCarSelectTwoPlayer	CHANGED	JPN+USA	USA	8003EFD0	48	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
SetDialog__25tScreenPinkSlipsCarSelect	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8003F6A4	164	frontend/common/screencarselect	regiondiff/recon/NFS4-R-AU/frontend/common/screencarselect.cpp
SetDialog__25tScreenPinkSlipsCarSelect	CHANGED	JPN+USA	USA	8003F6AC	164	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
Sky_RenderStars__FP13Draw_SkyCachei	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800D1EEC	111	game/psx/hrzsku	regiondiff/recon/NFS4-R-AU/game/psx/hrzsku.cpp
TextValue__18tListIteratorTrack7tPlayer	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80021F34	16	frontend/common/fetracks	regiondiff/recon/NFS4-R-USA/frontend/common/fetracks.cpp
TextValue__23tListIteratorTournament7tPlayer	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80033F64	22	frontend/common/fetourn	regiondiff/recon/NFS4-R-USA/frontend/common/fetourn.cpp
TransitionOn__17tUserNameMenuItem	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800206E0	141	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-USA/frontend/common/femenuoptions.cpp
TrsProj_SetViewTrsProjEnviro__FP13DRender_tView	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800E2640	21	game/psx/trsproj	regiondiff/recon/NFS4-R-AU/game/psx/trsproj.cpp
UpdateTrackList__18tTournamentManagerss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800326D4	52	frontend/common/fetourn	regiondiff/recon/NFS4-R-USA/frontend/common/fetourn.cpp
ValidCar__16tListIteratorCar7tPlayerc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80018214	243	frontend/common/fecars	regiondiff/recon/NFS4-R-USA/frontend/common/fecars.cpp
ValidCar__18tTournamentManagerR8tCarInfo	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80033D60	94	frontend/common/fetourn	regiondiff/recon/NFS4-R-USA/frontend/common/fetourn.cpp
Weather_InitSplats__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800E2C10	69	game/psx/weather	regiondiff/recon/NFS4-R-AU/game/psx/weather.cpp
nfs2eacinit__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800DD064	18	game/psx/platform	regiondiff/recon/NFS4-R-USA/game/psx/platform.cpp
savegp	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800EB9D8	5	eaclib/psx/eacpsxz/savegp	regiondiff/recon/NFS4-R-AU/eaclib/psx/eacpsxz/savegp.c
savegp	CHANGED	JPN	JPN	800EB7D8	5	eaclib/psx/eacpsxz/savegp	regiondiff/recon/NFS4-R-JPN/eaclib/psx/eacpsxz/savegp.c
savegp	CHANGED	USA	USA	800EB9EC	5	eaclib/psx/eacpsxz/savegp	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/savegp.c
CalculateDimensions__11tDialogHelp	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80018CF8	359	frontend/common/fedialog	regiondiff/recon/NFS4-R-AU/frontend/common/fedialog.cpp
CalculateDimensions__11tDialogHelp	CHANGED	USA	USA	80018CD0	359	frontend/common/fedialog	regiondiff/recon/NFS4-R-USA/frontend/common/fedialog.cpp
Confirm__Fii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW+USA	USA	80034568	109	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
DrawHelpIcons__14tFEApplication	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW+USA	USA	8001349C	254	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
Init_MemcardFile__FR12MCRDFILE_defsb	CHANGED	USA	USA	800349E0	58	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Initialize__14tScreenMemcard	CHANGED	JPN+USA	USA	80048088	106	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
SetCurrentController__23tScreenControllerConfigb	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW+USA	USA	80043B60	222	frontend/common/screencontroller	regiondiff/recon/NFS4-R-USA/frontend/common/screencontroller.cpp
