module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libds/DSCB              BASE                 0       2      15       1
syslib/psx/libds/DSCB              O1                   0       2      13       1
syslib/psx/libds/DSCB              nodelay              0       2      14       0
syslib/psx/libds/DSCB              nosched1             0       2      15       1
syslib/psx/libds/DSCB              nosched2             0       2      13       1
syslib/psx/libds/DSCB              G0                   0       2       7       1
syslib/psx/libds/DSCB              G8                   0       2      15       1
syslib/psx/libds/DSCB              nosplit              0       2      15       1
syslib/psx/libetc/INTR             BASE                 7      13     237       8
syslib/psx/libetc/INTR             O1                   3      13     346       3
syslib/psx/libetc/INTR             nodelay              5      13     298       6
syslib/psx/libetc/INTR             nosched1             7      13     278       8
syslib/psx/libetc/INTR             nosched2             3      13     266       3
syslib/psx/libetc/INTR             G0                   6      13     317       9
syslib/psx/libetc/INTR             G8                   7      13     237       8
syslib/psx/libetc/INTR             nosplit              7      13     186      10
syslib/psx/libetc/INTR_DMA         BASE                 1       3      30       2
syslib/psx/libetc/INTR_DMA         O1                   1       3      80       1
syslib/psx/libetc/INTR_DMA         nodelay              0       3      41       0
syslib/psx/libetc/INTR_DMA         nosched1             1       3      58       2
syslib/psx/libetc/INTR_DMA         nosched2             1       3      32       1
syslib/psx/libetc/INTR_DMA         G0                   1       3      55       2
syslib/psx/libetc/INTR_DMA         G8                   1       3      30       2
syslib/psx/libetc/INTR_DMA         nosplit              1       3      39       2
syslib/psx/libetc/INTR_VB          BASE                 0       1      11       0
syslib/psx/libetc/INTR_VB          O1                   0       1      16       1
syslib/psx/libetc/INTR_VB          nodelay              0       1       8       0
syslib/psx/libetc/INTR_VB          nosched1             0       1      11       0
syslib/psx/libetc/INTR_VB          nosched2             0       1      15       0
syslib/psx/libetc/INTR_VB          G0                   0       1      25       0
syslib/psx/libetc/INTR_VB          G8                   0       1      11       0
syslib/psx/libetc/INTR_VB          nosplit              0       1       5       0
syslib/psx/libetc/VMODE            BASE                 1       2       7       1
syslib/psx/libetc/VMODE            O1                   1       2       7       1
syslib/psx/libetc/VMODE            nodelay              1       2       8       2
syslib/psx/libetc/VMODE            nosched1             1       2       7       1
syslib/psx/libetc/VMODE            nosched2             1       2       7       1
syslib/psx/libetc/VMODE            G0                   1       2       7       1
syslib/psx/libetc/VMODE            G8                   1       2       7       1
syslib/psx/libetc/VMODE            nosplit              1       2       8       2
syslib/psx/libetc/VSYNC            BASE                 0       2      53       1
syslib/psx/libetc/VSYNC            O1                   0       2      78       0
syslib/psx/libetc/VSYNC            nodelay              0       2      64       0
syslib/psx/libetc/VSYNC            nosched1             0       2      47       1
syslib/psx/libetc/VSYNC            nosched2             0       2      66       0
syslib/psx/libetc/VSYNC            G0                   0       2     109       1
syslib/psx/libetc/VSYNC            G8                   0       2      53       1
syslib/psx/libetc/VSYNC            nosplit              0       2      52       0
syslib/psx/libgpu/FONT             BASE                 0       2     364       0
syslib/psx/libgpu/FONT             O1                   0       2     491       0
syslib/psx/libgpu/FONT             nodelay              0       2     466       0
syslib/psx/libgpu/FONT             nosched1             0       2     384       0
syslib/psx/libgpu/FONT             nosched2             0       2     375       0
syslib/psx/libgpu/FONT             G0                   0       2     384       0
syslib/psx/libgpu/FONT             G8                   0       2     364       0
syslib/psx/libgpu/FONT             nosplit              0       2     330       0
syslib/psx/libgpu/P34              BASE                 0       1      13       0
syslib/psx/libgpu/P34              O1                   0       1      11       0
syslib/psx/libgpu/P34              nodelay              0       1      21       0
syslib/psx/libgpu/P34              nosched1             0       1      11       0
syslib/psx/libgpu/P34              nosched2             0       1      13       0
syslib/psx/libgpu/P34              G0                   0       1      13       0
syslib/psx/libgpu/P34              G8                   0       1      13       0
syslib/psx/libgpu/P34              nosplit              0       1      13       0
syslib/psx/libgpu/SYS              BASE                13      44    1957      22
syslib/psx/libgpu/SYS              O1                   4      44    2526      19
syslib/psx/libgpu/SYS              nodelay              1      44    2453       4
syslib/psx/libgpu/SYS              nosched1             6      44    2257      14
syslib/psx/libgpu/SYS              nosched2             7      44    2053      20
syslib/psx/libgpu/SYS              G0                   9      44    2420      22
syslib/psx/libgpu/SYS              G8                  13      44    1955      22
syslib/psx/libgpu/SYS              nosplit             14      44    1743      22
syslib/psx/libgte/COR_01           BASE                 0       1      76       0
syslib/psx/libgte/COR_01           O1                   0       1      88       0
syslib/psx/libgte/COR_01           nodelay              0       1      78       0
syslib/psx/libgte/COR_01           nosched1             0       1      80       0
syslib/psx/libgte/COR_01           nosched2             0       1      76       0
syslib/psx/libgte/COR_01           G0                   0       1      76       0
syslib/psx/libgte/COR_01           G8                   0       1      76       0
syslib/psx/libgte/COR_01           nosplit              0       1      72       0
syslib/psx/libgte/COR_02           BASE                 0       1      12       0
syslib/psx/libgte/COR_02           O1                   0       1      12       0
syslib/psx/libgte/COR_02           nodelay              0       1      26       0
syslib/psx/libgte/COR_02           nosched1             0       1      12       0
syslib/psx/libgte/COR_02           nosched2             0       1      12       0
syslib/psx/libgte/COR_02           G0                   0       1      12       0
syslib/psx/libgte/COR_02           G8                   0       1      12       0
syslib/psx/libgte/COR_02           nosplit              0       1      12       0
syslib/psx/libgte/COR_03           BASE                 0       1      85       0
syslib/psx/libgte/COR_03           O1                   0       1      85       0
syslib/psx/libgte/COR_03           nodelay              0       1      86       0
syslib/psx/libgte/COR_03           nosched1             0       1      85       0
syslib/psx/libgte/COR_03           nosched2             0       1      85       0
syslib/psx/libgte/COR_03           G0                   0       1      85       0
syslib/psx/libgte/COR_03           G8                   0       1      85       0
syslib/psx/libgte/COR_03           nosplit              0       1      85       0
syslib/psx/libgte/FGO_01           BASE                 0       1     261       0
syslib/psx/libgte/FGO_01           O1                   0       1     269       0
syslib/psx/libgte/FGO_01           nodelay              0       1     260       0
syslib/psx/libgte/FGO_01           nosched1             0       1     268       0
syslib/psx/libgte/FGO_01           nosched2             0       1     261       0
syslib/psx/libgte/FGO_01           G0                   0       1     261       0
syslib/psx/libgte/FGO_01           G8                   0       1     261       0
syslib/psx/libgte/FGO_01           nosplit              0       1     265       0
syslib/psx/libgte/FGO_06           BASE                 0       1     166       0
syslib/psx/libgte/FGO_06           O1                   0       1     157       0
syslib/psx/libgte/FGO_06           nodelay              0       1     165       0
syslib/psx/libgte/FGO_06           nosched1             0       1     160       0
syslib/psx/libgte/FGO_06           nosched2             0       1     166       0
syslib/psx/libgte/FGO_06           G0                   0       1     166       0
syslib/psx/libgte/FGO_06           G8                   0       1     166       0
syslib/psx/libgte/FGO_06           nosplit              0       1     168       0
syslib/psx/libgte/FOG_01           BASE                 0       1       4       1
syslib/psx/libgte/FOG_01           O1                   0       1       8       1
syslib/psx/libgte/FOG_01           nodelay              0       1       3       0
syslib/psx/libgte/FOG_01           nosched1             0       1       4       1
syslib/psx/libgte/FOG_01           nosched2             0       1       8       1
syslib/psx/libgte/FOG_01           G0                   0       1       4       1
syslib/psx/libgte/FOG_01           G8                   0       1       4       1
syslib/psx/libgte/FOG_01           nosplit              0       1       4       1
syslib/psx/libgte/PATCHGTE         BASE                 1       1       0       1
syslib/psx/libgte/PATCHGTE         O1                   1       1       0       1
syslib/psx/libgte/PATCHGTE         nodelay              1       1       0       1
syslib/psx/libgte/PATCHGTE         nosched1             1       1       0       1
syslib/psx/libgte/PATCHGTE         nosched2             1       1       0       1
syslib/psx/libgte/PATCHGTE         G0                   1       1       0       1
syslib/psx/libgte/PATCHGTE         G8                   1       1       0       1
syslib/psx/libgte/PATCHGTE         nosplit              1       1       0       1
syslib/psx/libmath/ADDDF3          BASE                 0       1     377       0
syslib/psx/libmath/ADDDF3          O1                   0       1     408       0
syslib/psx/libmath/ADDDF3          nodelay              0       1     429       0
syslib/psx/libmath/ADDDF3          nosched1             0       1     383       0
syslib/psx/libmath/ADDDF3          nosched2             0       1     380       0
syslib/psx/libmath/ADDDF3          G0                   0       1     377       0
syslib/psx/libmath/ADDDF3          G8                   0       1     377       0
syslib/psx/libmath/ADDDF3          nosplit              0       1     377       0
syslib/psx/libmath/DIVDF3          BASE                 1       2     305       1
syslib/psx/libmath/DIVDF3          O1                   1       2     307       1
syslib/psx/libmath/DIVDF3          nodelay              1       2     317       1
syslib/psx/libmath/DIVDF3          nosched1             1       2     302       1
syslib/psx/libmath/DIVDF3          nosched2             1       2     305       1
syslib/psx/libmath/DIVDF3          G0                   1       2     305       1
syslib/psx/libmath/DIVDF3          G8                   1       2     305       1
syslib/psx/libmath/DIVDF3          nosplit              1       2     305       1
syslib/psx/libmath/DIVSF3          BASE                 0       1     107       0
syslib/psx/libmath/DIVSF3          O1                   0       1     122       1
syslib/psx/libmath/DIVSF3          nodelay              0       1     127       0
syslib/psx/libmath/DIVSF3          nosched1             0       1     101       0
syslib/psx/libmath/DIVSF3          nosched2             0       1     111       0
syslib/psx/libmath/DIVSF3          G0                   0       1     107       0
syslib/psx/libmath/DIVSF3          G8                   0       1     107       0
